Year,Product Type,Product/Title,Plot/Notes,Tags
2010,car,"volkswagen""punch dub days""","the first of their punch dub days campaign features many people, including stevie wonder and tracy morgan, punching someone in the arm.","[('car', 1.0), ('volkswagen', 0.6191), ('dub', 0.5315), ('punching', 0.5032), ('punch', 0.4835)]"
2010,film,the backup plan,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('backup', 0.769), ('tv', 0.6307), ('plan', 0.5756)]"
2010,film,iron man 2,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('tv', 0.6307), ('iron', 0.5716), ('man', 0.234)]"
2010,film,the last airbender,tv promo.,"[('film', 1.0), ('airbender', 0.8449), ('promo', 0.8236), ('tv', 0.6307)]"
2010,film,prince of persia: the sands of time,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('persia', 0.7219), ('tv', 0.6307), ('prince', 0.4318)]"
2010,film,robin hood,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('robin', 0.8169), ('hood', 0.7097), ('tv', 0.6307)]"
2010,film,shutter island,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('island', 0.7043), ('shutter', 0.6991), ('tv', 0.6307)]"
2010,film,the wolfman,tv promo.,"[('film', 1.0), ('wolfman', 0.9522), ('promo', 0.8236), ('tv', 0.6307)]"
2010,food,"doritos""boyfriend""","a man is seen staring at a womans butt as she walks into the other room. he then tries to start a conversation with the girlfriends kid. when he reaches for a dorito, the kid slaps him, saying, ""keep your hands off my mama, keep your hands off my doritos.""","[('food', 1.0), ('doritos', 0.7735), ('dorito', 0.6013), ('boyfriend', 0.4602), ('mama', 0.3774)]"
2010,food,"doritos""dog""","a dog wants doritos from a man sitting on a bench. the man says itll have to speak, but it is wearing an antibark collar. the dog comes back, and attaches the collar to the man, who lies on the ground, speaking gibberish. the dog walks away with the bag of doritos.","[('food', 1.0), ('doritos', 0.7684), ('dog', 0.4753), ('collar', 0.4118), ('antibark', 0.2623)]"
2010,food,"doritos""funeral""","a man who recently faked his death is in his coffin, watching the super bowl and in a pool of doritos. the casket flies open, and he screams, ""its a miracle""","[('food', 1.0), ('doritos', 0.7332), ('funeral', 0.6357), ('miracle', 0.5304), ('casket', 0.4636)]"
2010,food,"doritos""tim""","at a gym, a man has stolen doritos out of tims locker. his friend tries to warn him, but tim transforms into a doritowearing ninja.","[('food', 1.0), ('doritos', 0.733), ('tim', 0.62), ('doritowearing', 0.5819), ('locker', 0.4552)]"
2010,manufacturing,"bridgestone""killer whale""","three men have a killer whale in their small van. they then release it into the sea. one guy says, ""best bachelor party ever""","[('manufacturing', 1.0), ('whale', 0.6366), ('bridgestone', 0.5788), ('sea', 0.3576), ('killer', 0.356)]"
2010,mobile phone,"boost mobile""shuffle""","celebrating the 25th anniversary of the super bowl shuffle, the 1985 chicago bears do the shuffle.","[('mobile phone', 1.0), ('shuffle', 0.6597), ('boost', 0.5211), ('bears', 0.4911), ('mobile', 0.4351)]"
2010,restaurant,"mcdonalds""check this""","in a 2010 nba interpretation of the 1993 showdown commercial, nba stars dwight howard and lebron james play a slam dunk version of horse, with the same prize as before. larry bird, who stated ""no dunking"" in the original showdown with michael jordan, cashes in by eating the big mac and fries prize after howard shatters the backboard.","[('restaurant', 1.0), ('mcdonalds', 0.6423), ('dunking', 0.56), ('dunk', 0.5428), ('nba', 0.4891)]"
2010,shoes,"skechers""shapeups""","three people, including joe montana, talk about how great shapeups are.","[('shoes', 1.0), ('skechers', 0.7412), ('shapeups', 0.7267), ('joe', 0.4314), ('montana', 0.3586)]"
2010,soft drink,"coca-cola""africa""","a sleepwalking man walks in a forest of africa, eventually reaching a refrigerator with a coke bottle.","[('soft drink', 1.0), ('coca-cola', 0.8395), ('africa', 0.5741), ('sleepwalking', 0.5209), ('walks', 0.371)]"
2010,soft drink,"coca-cola""the simpsons""","mr. burns goes bankrupt and loses everything. while in a walk in the park, he sees people enjoying his things and coke bottles. apu notices that burns is sad, and gives him a coke since he was carrying two armfuls of coke. milhouse is standing in a makeshift kite and bumps into the coca-cola logo. he says ""ah sorry coke"" while the theme tune plays.","[('soft drink', 1.0), ('coca-cola', 0.7501), ('simpsons', 0.6778), ('burns', 0.5217), ('coke', 0.3938)]"
2010,tv show,late show with david letterman,"david letterman, oprah winfrey, and jay leno are watching the super bowl.","[('tv show', 1.0), ('letterman', 0.7586), ('oprah', 0.4257), ('winfrey', 0.4112), ('david', 0.4091)]"
2010,tv show,nfl full contact,"on groundhog day, the mayor pulls out a small football player who sees his shadow. the mayor declares six more weeks of football.","[('tv show', 1.0), ('nfl', 0.6416), ('groundhog', 0.5338), ('contact', 0.505), ('mayor', 0.4364)]"
2010,video game,dantes inferno,"cinematic trailer for the game, dantes inferno accompanied by bill withers song, ""aint no sunshine"".","[('video game', 1.0), ('inferno', 0.8172), ('dantes', 0.7675), ('trailer', 0.4343), ('cinematic', 0.4269)]"
2010,website,"cars.com""smart kid 2""","a brandnew ""smart kid"" ad for cars.com.","[('website', 1.0), ('cars', 0.4455), ('ad', 0.4093), ('com', 0.3914), ('smart', 0.3814)]"
2010,website,"etrade""date""",a date between two web babies goes awry.,"[('website', 1.0), ('etrade', 0.7148), ('date', 0.5536), ('babies', 0.4288), ('web', 0.3931)]"
2010,website,"focus on the family.com""miracle baby""",pam tebow talks about her miracle baby tim tebow. this ad drew much criticism from prochoiceclarification needed groups.,"[('website', 1.0), ('miracle', 0.5336), ('tebow', 0.5288), ('pam', 0.3676), ('ad', 0.3563)]"
2010,website,"godaddy""massage""",danica patrick gets a massage. the massage therapist realizes that shes the godaddy spokeswoman. then he then tries to impress danica by opening her blouse.,"[('website', 1.0), ('godaddy', 0.7281), ('massage', 0.6148), ('danica', 0.591), ('patrick', 0.3431)]"
2010,website,"google""searching""","an anonymous user most likely a man is using google for help by using its search engine. over the course, it tells a story about how the user goes to paris for college, meets a french woman, falls in love, buys her chocolate, gets married, and has a child.","[('website', 1.0), ('searching', 0.7857), ('google', 0.7206), ('anonymous', 0.428), ('search', 0.3622)]"
2010,website,"monster.com""talented beaver""",a beaver that plays the fiddle becomes a big hit.,"[('website', 1.0), ('beaver', 0.657), ('fiddle', 0.5463), ('talented', 0.3889), ('monster', 0.3691)]"
2011,beer,"bud light""hack job""","a couple appears on a home makeover show called ""hack job"", discovering the only thing they have done to their kitchen was put a bucket of bud light on the counter.","[('beer', 1.0), ('hack', 0.5175), ('couple', 0.4054), ('kitchen', 0.3781), ('bud', 0.364)]"
2011,car,"audi""old luxury""",two people escape from a fancy prison.cameos: kenny g,"[('car', 1.0), ('audi', 0.7331), ('luxury', 0.5276), ('kenny', 0.5241), ('prison', 0.4801)]"
2011,car,"chevrolet""elderly home""",people in an elderly home try to figure out a chevy commercial.,"[('car', 1.0), ('chevrolet', 0.6069), ('elderly', 0.6067), ('commercial', 0.5302), ('chevy', 0.5016)]"
2011,car,"chevrolet""miss evelyn""",two guys narrate their idea for a chevy camaro commercial.,"[('car', 1.0), ('chevrolet', 0.6602), ('evelyn', 0.5398), ('miss', 0.4915), ('commercial', 0.4904)]"
2011,car,"chrysler 200""born of fire""","a narrator talks about how detroit has its history, but it should be respected like any other town. rapper eminem is driving through detroit in his chrysler, until he reaches the fox theatre. he concludes that, ""this is the motor city, and this is what we do."" the song ""lose yourself"" by said artist is playing throughout the commercial. the commercial is two minutes long, and one of the longest commercials in super bowl history. the ad received critical acclaim.","[('car', 1.0), ('chrysler', 0.6587), ('eminem', 0.4406), ('commercials', 0.4271), ('detroit', 0.4217)]"
2011,car,"ford""race""",six people prepare to race in their fords.,"[('car', 1.0), ('ford', 0.7553), ('race', 0.6545), ('fords', 0.4703), ('prepare', 0.3125)]"
2011,car,"volkswagen""black beetle""","a computergenerated black beetle runs fast, as it is referencing the new volkswagen model.","[('car', 1.0), ('volkswagen', 0.7159), ('beetle', 0.7098), ('black', 0.4229), ('fast', 0.3909)]"
2011,car,"volkswagen""the force""","a kid dressed as darth vader tries the force on random objects, but fails. when his father comes home in his volkswagen, the kid tries to use the force to start the engine. he succeeds, or so he thinks. this was voted 9 on youtubes top 10 videos of 2011.","[('car', 1.0), ('volkswagen', 0.7765), ('vader', 0.5833), ('force', 0.5547), ('darth', 0.4549)]"
2011,film,captain america: the first avenger,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('avenger', 0.744), ('tv', 0.6307), ('captain', 0.5129)]"
2011,film,cowboys  aliens,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('aliens', 0.707), ('cowboys', 0.699), ('tv', 0.6307)]"
2011,film,pirates of the caribbean: on stranger tides,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('pirates', 0.6563), ('tv', 0.6307), ('tides', 0.5327)]"
2011,film,thor,tv promo.,"[('film', 1.0), ('thor', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2011,film,transformers: dark of the moon,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('transformers', 0.7374), ('tv', 0.6307), ('moon', 0.6068)]"
2011,food,"doritos""love""",a man goes around the office with a creepy obsession for doritos.,"[('food', 1.0), ('doritos', 0.7977), ('love', 0.4183), ('office', 0.3697), ('obsession', 0.2932)]"
2011,food,"doritos""teasing""","a boyfriend teases his girlfriends dog by waving doritos around from the inside of a glass door. instead of the dog running into the door, the dog crashes through the door, squishing the man.","[('food', 1.0), ('doritos', 0.7239), ('teasing', 0.6181), ('dog', 0.3409), ('door', 0.3294)]"
2011,soft drink,"pepsi""love hurts""","a wife keeps putting down her husbands spirits. when the husband thinks his wife will be mad that he is drinking pepsimax, she too is drinking pepsimax. when the man then spots a hot jogger, the woman accidentally knocks out the woman with her can.","[('soft drink', 1.0), ('pepsi', 0.7161), ('pepsimax', 0.4817), ('hurts', 0.4129), ('husbands', 0.3843)]"
2011,store,"best buy""upgrades""","ozzy osbourne tries to shoot a best buy commercial for 4g phones, but the g keeps getting upgraded. pretty soon, osbourne is replaced by justin bieber.cast: ozzy osbourne, justin bieber, sharon osbourne, jack osbourne","[('store', 1.0), ('upgrades', 0.7022), ('osbourne', 0.5872), ('ozzy', 0.5535), ('bieber', 0.473)]"
2012,beer,"bud light""factory""",a factory is working on the new bud light platinum.,"[('beer', 1.0), ('factory', 0.5386), ('platinum', 0.3953), ('light', 0.3714), ('bud', 0.3634)]"
2012,beer,"budweiser""the end of prohibition""",the reactions of a town at the end of prohibition are shown,"[('beer', 1.0), ('budweiser', 0.7353), ('prohibition', 0.6775), ('town', 0.3972), ('end', 0.2285)]"
2012,beer,"budweiser""eternal optimism""","various moments in 20th century history are shown, all accompanied by people drinking budweiser.","[('beer', 1.0), ('budweiser', 0.7264), ('optimism', 0.5943), ('drinking', 0.3849), ('eternal', 0.3822)]"
2012,candy,"mms""just my shell""","at a party, a brownshelled mm is mistaken for being naked. as a result, the red mm tears off its skin and dances to ""sexy and i know it"" by lmfao.","[('candy', 1.0), ('shell', 0.6196), ('mms', 0.618), ('mm', 0.372), ('naked', 0.3468)]"
2012,car,"audi""vampire party""","a group of vampires are having a party in the woods. the vampire in charge of drinks blood types arrives in his audi. the bright lights of the car kills all of the vampires, with him wondering where everyone went afterwards.","[('car', 1.0), ('vampires', 0.6569), ('vampire', 0.6328), ('audi', 0.603), ('party', 0.3842)]"
2012,car,"chrysler""halftime in america""",clint eastwood recounts how the automotive industry survived the great recession.,"[('car', 1.0), ('halftime', 0.6665), ('chrysler', 0.5878), ('recession', 0.5041), ('eastwood', 0.4688)]"
2012,car,"fiat""seduction""","a man walks through a street to discover a beautiful woman catrinel menghia standing on a parking space, who proceeds to approach and seduce him, when successfully doing so he then discoved he was about to kiss a fiat 500 abarth.cast: catrinel menghia","[('car', 1.0), ('fiat', 0.7343), ('seduction', 0.6786), ('menghia', 0.6257), ('cast', 0.389)]"
2012,car,"hyundai""cheetah""","two men try to see which is faster: a cheetah or a hyundai. once the cheetah is released, it starts to instead chase after its cage handler.","[('car', 1.0), ('cheetah', 0.7654), ('hyundai', 0.6932), ('chase', 0.3685), ('faster', 0.3667)]"
2012,film,act of valor,tv promo.,"[('film', 1.0), ('valor', 0.8444), ('promo', 0.8236), ('tv', 0.6307), ('act', 0.5909)]"
2012,film,the avengers,tv promo.,"[('film', 1.0), ('avengers', 0.9738), ('promo', 0.8236), ('tv', 0.6307)]"
2012,film,battleship,tv promo.,"[('film', 1.0), ('battleship', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2012,film,john carter,tv promo.,"[('film', 1.0), ('carter', 0.8651), ('promo', 0.8236), ('tv', 0.6307), ('john', 0.6166)]"
2012,film,the lorax,tv promo.,"[('film', 1.0), ('lorax', 0.9034), ('promo', 0.8236), ('tv', 0.6307)]"
2012,soft drink,"pepsi""the kings court""","people in the middles ages try to entertain their king elton john for a pepsi. while the first person fails, a mysterious person season 1 x factor winner melanie amaro wins the pepsi by singing aretha franklins ""respect""."" after she wins, she overthrows the king and gives pepsi to all the town.cast: elton john, melanie amaro, flavor flav","[('soft drink', 1.0), ('pepsi', 0.6792), ('kings', 0.5745), ('elton', 0.4708), ('court', 0.4115)]"
2012,store,"best buy""phone innovators""","an ad featuring the creators of the cameraphone, siri, and the first text message. the creators of words with friends also appear parodying the incident involving alec baldwin playing the game on an airplane.","[('store', 1.0), ('innovators', 0.591), ('parodying', 0.4578), ('ad', 0.4103), ('phone', 0.4062)]"
2013,car,"audi""prom""",a guy getting ready for the prom. drives his moms audi to the prom.,"[('car', 1.0), ('audi', 0.68), ('prom', 0.6556), ('moms', 0.2208), ('drives', 0.2193)]"
2013,truck,"dodge ram""so god made a farmer""",portions of the speech by paul harvey are played over a background of farming activities in the united states.,"[('truck', 1.0), ('dodge', 0.573), ('farmer', 0.5029), ('harvey', 0.4553), ('speech', 0.3921)]"
2013,film,fast and furious 6,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('furious', 0.7215), ('tv', 0.6307), ('fast', 0.3634)]"
2013,film,iron man 3,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('tv', 0.6307), ('iron', 0.5882), ('man', 0.2705)]"
2013,film,oz the great and powerful,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('oz', 0.7762), ('tv', 0.6307), ('powerful', 0.4417)]"
2013,film,star trek into darkness,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('darkness', 0.6911), ('tv', 0.6307), ('trek', 0.5871)]"
2013,food,wonderful pistachios,"psy does his ""gangnam style"" dance to promote pistachios.","[('food', 1.0), ('pistachios', 0.9179), ('gangnam', 0.4727), ('dance', 0.4533), ('wonderful', 0.2987)]"
2014,beer,"budweiser """"""puppy love""""""",,"[('beer', 1.0), ('budweiser', 0.7288), ('puppy', 0.4635), ('love', 0.2601)]"
2014,car,"audi """"""doberhuahua""""""",.,"[('car', 1.0), ('doberhuahua', 0.6679), ('audi', 0.5592)]"
2014,car,"kia k900 """"""the truth""""""","morpheus offers a couple of choice of a red key or a blue key with the red key being a kia k900. as they drive on the kia, morpheus accompanies them while singing to ""nessun dorma"" as nods to the matrix trilogy start flying in to the scene.","[('car', 1.0), ('kia', 0.6706), ('k900', 0.6076), ('morpheus', 0.5101), ('matrix', 0.3847)]"
2014,car,"volkswagen """"""wings""""""","every time a vw hits 100,000 miles, a german engineer gets their wings.","[('car', 1.0), ('volkswagen', 0.6927), ('wings', 0.6438), ('vw', 0.4956), ('engineer', 0.3641)]"
2014,car accessories,"weathertech """"""you cant do that""""""",,"[('car accessories', 1.0), ('weathertech', 0.7472)]"
2014,food,"doritos """"""time machine""""""","a child scams a neighbor into giving him his bag of doritos, by claiming he had built a time machine powered by them.","[('food', 1.0), ('doritos', 0.6859), ('scams', 0.4413), ('time', 0.3811), ('machine', 0.3217)]"
2014,store,"radioshack """"""the 80s called""""""",a radioshack store is cleared out by several 1980s pop culture icons.,"[('store', 1.0), ('radioshack', 0.7265), ('80s', 0.4166), ('1980s', 0.3595), ('pop', 0.2797)]"
2014,soft drink,"coca-cola """"""its beautiful""""""","themed around multiculturalism, the ad showed scenes depicting scenes of americans of various ethnicities, including a samesex couple, the first depicted in a super bowl ad set to the rendition of the patriotic hymn america the beautiful sung in different languages. upon its release, the commercial was controversial. the ad later reaired at super bowl li.","[('soft drink', 1.0), ('coca-cola', 0.7447), ('commercial', 0.4168), ('sung', 0.3467), ('patriotic', 0.3353)]"
2015,adhesives,"loctite """"""positive feelings""""""",people dancing with loctite fanny packs.,"[('adhesives', 1.0), ('loctite', 0.6192), ('dancing', 0.459), ('fanny', 0.4457), ('feelings', 0.3886)]"
2015,antifungal medication,"jublia """"""tackle it""""""",antifungal topical.,"[('antifungal medication', 1.0), ('antifungal', 0.8448), ('jublia', 0.5878), ('topical', 0.5282), ('tackle', 0.4855)]"
2015,beer,"budweiser """"""lost dog""""""",a little yellow labrador gets lost and finds his way home.,"[('beer', 1.0), ('budweiser', 0.7353), ('labrador', 0.5468), ('dog', 0.3652), ('lost', 0.3204)]"
2015,beer,"bud light """"""coin""""""","as part of the beers ongoing ""up for whatever"" campaign, a randomlychosen person plays a lifesized version of pacman.","[('beer', 1.0), ('pacman', 0.6963), ('coin', 0.5413), ('light', 0.4115), ('beers', 0.3429)]"
2015,candy,"skittles """"""it will be settled""""""",a town settles their disputes with arm wrestling contests.,"[('candy', 1.0), ('skittles', 0.634), ('disputes', 0.5272), ('wrestling', 0.5015), ('contests', 0.4174)]"
2015,candy,"snickers """"""the brady bunch""""""","in the brady bunch episode, a hungry marcia danny trejo is stressing out and ""her"" parents settle her down with a snickers bar.","[('candy', 1.0), ('snickers', 0.6541), ('brady', 0.5443), ('marcia', 0.4379), ('hungry', 0.4036)]"
2015,car,"bmw """"""newfangled idea""""""","no one knew how big the internet would become, as shown in a 1994 clip of today show hosts katie couric and bryant gumbel. 21 years later, the two are in an allelectric bmw i3, which is made in a windpowered factory.","[('car', 1.0), ('bmw', 0.5852), ('newfangled', 0.4456), ('katie', 0.425), ('internet', 0.34)]"
2015,car,"chevrolet """"""super bowl blackout""""""","the screen goes blank and then asks what if you lost tv service and your screen went black as the game started, and that its latest vehicle has wifi ability.","[('car', 1.0), ('blackout', 0.5721), ('chevrolet', 0.488), ('wifi', 0.4643), ('screen', 0.4179)]"
2015,car,"dodge """"""wisdom""""""","centenarians give advice about life, as the car company celebrates its 100th anniversary.","[('car', 1.0), ('wisdom', 0.6794), ('centenarians', 0.5675), ('dodge', 0.4958), ('anniversary', 0.4045)]"
2015,car,"fiat """"""the fiat blue pill""""""","a husband loses his blue pill, which bounces around town until it lands in a fiat 500, making the car slightly bigger.","[('car', 1.0), ('fiat', 0.6979), ('pill', 0.3984), ('blue', 0.3155), ('husband', 0.2781)]"
2015,car,"jeep """"""beautiful lands""""""","advertisement for the jeep renegade, done to the song ""this land is your land"", and applied to lands all over the world.","[('car', 1.0), ('jeep', 0.6397), ('land', 0.5129), ('lands', 0.457), ('advertisement', 0.3673)]"
2015,car,"lexus """"""lets play""""""","a miniature model of the lexus rc 350 shows off some drift parking techniques, followed by a fullsize model.","[('car', 1.0), ('lexus', 0.7382), ('parking', 0.4566), ('play', 0.4244), ('drift', 0.3725)]"
2015,car,"kia motors """"""the perfect getaway""""""","pierce brosnan is pitched a movie role where he drives a kia sorento up a snowcovered mountain road but instead of actionadventure mission with snipers, tanks, and explosions, he encounters animals and safe drive.","[('car', 1.0), ('kia', 0.59), ('brosnan', 0.5238), ('pierce', 0.4557), ('getaway', 0.4556)]"
2015,car,"mercedesbenz """"""fable""""""",a retelling of the tortoise and the hare where the tortoise drives a mercedesamg gt.,"[('car', 1.0), ('mercedesbenz', 0.6564), ('fable', 0.5657), ('mercedesamg', 0.5159), ('tortoise', 0.5017)]"
2015,car,"nissan """"""with dad""""""",a race car driver balances his work life and his family. first public appearance of nissan gtr lm nismo.,"[('car', 1.0), ('nissan', 0.5591), ('gtr', 0.4476), ('dad', 0.4432), ('nismo', 0.4364)]"
2015,car,"toyota """"""how great i am""""""",footage of paralympian snowboarder and dancing with the stars competitor amy purdy juxtaposed with an audio promo by muhammad ali.,"[('car', 1.0), ('toyota', 0.6251), ('dancing', 0.4607), ('footage', 0.4407), ('snowboarder', 0.431)]"
2015,car,"toyota """"""my bold dad""""""",the aspects of being a dad.,"[('car', 1.0), ('toyota', 0.57), ('dad', 0.5247), ('bold', 0.4564), ('aspects', 0.3567)]"
2015,car accessories,"weathertech """"""america at work""""""",the american company makes car floor mats.,"[('car accessories', 1.0), ('weathertech', 0.7491), ('mats', 0.5479), ('floor', 0.3228), ('america', 0.2823)]"
2015,credit card,"discover """"""surprise""""""","a guy contacts his service representative when he learns that he can get his credit score, which is good because he does not like surprises. he then opens the door and sees a screaming goat in his apartment.","[('credit card', 1.0), ('discover', 0.5135), ('surprise', 0.494), ('credit', 0.4245), ('goat', 0.3376)]"
2015,feminine care products,"always """"""like a girl""""""","a new look at the phrase of doing things ""like a girl"".","[('feminine care products', 1.0), ('girl', 0.4449), ('like', 0.3502), ('phrase', 0.2998), ('new', 0.2567)]"
2015,film,avengers: age of ultron ,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('ultron', 0.8101), ('avengers', 0.7384), ('tv', 0.6307)]"
2015,film,the divergent series: insurgent ,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('tv', 0.6307), ('divergent', 0.6103), ('series', 0.5315)]"
2015,film,fifty shades of grey ,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('tv', 0.6307), ('shades', 0.5532), ('grey', 0.4883)]"
2015,film,furious 7 ,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('furious', 0.8004), ('tv', 0.6307)]"
2015,film,jurassic world ,tv promo.,"[('film', 1.0), ('jurassic', 0.9423), ('promo', 0.8236), ('tv', 0.6307), ('world', 0.4279)]"
2015,film,"minions """"""super fans""""""",tv promo. the minions are shown to enjoy the game with their own ways.,"[('film', 1.0), ('minions', 0.6527), ('promo', 0.5573), ('super', 0.4295), ('fans', 0.4127)]"
2015,film,pitch perfect 2 ,tv promo,"[('film', 1.0), ('promo', 0.8285), ('pitch', 0.7554), ('tv', 0.6197), ('perfect', 0.4114)]"
2015,film,ted 2 ,tv promo. tom brady is featured in the movie.,"[('film', 1.0), ('ted', 0.8686), ('brady', 0.5743), ('tom', 0.5381), ('promo', 0.4202)]"
2015,film,terminator genisys ,tv promo.,"[('film', 1.0), ('terminator', 0.8659), ('promo', 0.8236), ('tv', 0.6307), ('genisys', 0.5894)]"
2015,film,tomorrowland ,tv promo.,"[('film', 1.0), ('tomorrowland', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2015,food,"avocados from mexico """"""first draft ever""""""",doug flutie and jerry rice provide color commentary on the first ever draft over animals and plants.,"[('food', 1.0), ('avocados', 0.6525), ('draft', 0.4071), ('plants', 0.3627), ('mexico', 0.362)]"
2015,food,"doritos """"""middle seat""""""","an airline passenger tries not to let the seat next to him be occupied. / winner in the doritos ""crash the super bowl"" contest.","[('food', 1.0), ('doritos', 0.7036), ('airline', 0.5071), ('seat', 0.4885), ('passenger', 0.4665)]"
2015,food,"doritos """"""when pigs fly""""""","a boy creates a contraption that allows pigs to fly so he can get some doritos. / runnerup in the doritos ""crash the super bowl"" contest.","[('food', 1.0), ('doritos', 0.6915), ('pigs', 0.5246), ('contraption', 0.3646), ('fly', 0.3639)]"
2015,food,"mcdonalds """"""pay with lovin""""""","a mcdonalds restaurant accepts alternatives to money such as compliments, silly dances, and calling mom.","[('food', 1.0), ('mcdonalds', 0.628), ('restaurant', 0.4461), ('lovin', 0.3869), ('pay', 0.3833)]"
2015,video game,"clash of clans """"""revenge""""""",liam neeson plans to avenge his loss in the game.,"[('video game', 1.0), ('clans', 0.6409), ('neeson', 0.561), ('liam', 0.555), ('revenge', 0.5419)]"
2015,video game,"game of war: fire age """"""who i am""""""",kate uptons character leads her troops against an invading army.,"[('video game', 1.0), ('uptons', 0.4715), ('war', 0.425), ('invading', 0.4221), ('troops', 0.4176)]"
2015,insurance,"esurance """"""sorta pharmacy""""""","a woman gets service by ""sorta greg"" bryan cranston, an eccentric pharmacist.","[('insurance', 1.0), ('esurance', 0.6733), ('pharmacy', 0.573), ('pharmacist', 0.5343), ('cranston', 0.4858)]"
2015,insurance,"esurance """"""sorta your mom""""""","a student is picked up from school by a badlydriving woman who claims to be ""sorta your mom"" lindsay lohan.","[('insurance', 1.0), ('lindsay', 0.4957), ('esurance', 0.478), ('student', 0.4369), ('mom', 0.4199)]"
2015,insurance,"nationwide """"""boy""""""",a boy talks about not being able to do things like ride a bike or other childhood activities because he died from an accident.,"[('insurance', 1.0), ('nationwide', 0.5675), ('boy', 0.4336), ('childhood', 0.3499), ('accident', 0.27)]"
2015,insurance,"nationwide """"""invisible mindy""""""","mindy kaling concludes that based on how shes been treated by insurance companies, she might actually be invisible.","[('insurance', 1.0), ('mindy', 0.5342), ('nationwide', 0.4465), ('invisible', 0.439), ('kaling', 0.3913)]"
2015,lingerie,victorias secret ,footage of model shoots from the past 18 months.,"[('lingerie', 1.0), ('victorias', 0.7315), ('footage', 0.5872), ('secret', 0.5837), ('model', 0.4413)]"
2015,phone,"sprint """"""super apology""""""",a captionstyled ad with curse words changed with pictures of the screaming goat and a donkey.,"[('phone', 1.0), ('sprint', 0.6467), ('captionstyled', 0.5048), ('donkey', 0.4631), ('goat', 0.4463)]"
2015,phone,"tmobile """"""kimsdatastash""""""",kim kardashian asks viewers to help save the data from cell phone service packages so that she can be seen in action.,"[('phone', 1.0), ('kimsdatastash', 0.6863), ('tmobile', 0.6128), ('kardashian', 0.4235), ('kim', 0.4169)]"
2015,phone,"tmobile """"""one upped""""""",chelsea handler and sarah silverman try to oneup each other when they use wifi calling.,"[('phone', 1.0), ('tmobile', 0.7201), ('upped', 0.4891), ('sarah', 0.4245), ('silverman', 0.3361)]"
2015,phone accessory,"mophie """"""allpowerless""""""",weird things happen around the world because gods smartphone battery runs out.,"[('phone accessory', 1.0), ('mophie', 0.702), ('allpowerless', 0.6488), ('smartphone', 0.5004), ('battery', 0.4262)]"
2015,service,"no more """"""30 second""""""",a woman places a call to 911 pretending to order a pizza but is actually calling for help from domestic abuse.,"[('service', 1.0), ('30', 0.4999), ('911', 0.4341), ('calling', 0.4029), ('pizza', 0.3807)]"
2015,service,"weight watchers """"""all you can eat""""""","after being inundated with food ads, it is time to make plans.","[('service', 1.0), ('plans', 0.4891), ('watchers', 0.402), ('ads', 0.4017), ('eat', 0.3861)]"
2015,shoes,"skechers """"""hall""""""",pete rose talks about being in the hall and walking in his skechers shoes. it turns out the hall is in his own house and he even is not supposed to be in there.,"[('shoes', 1.0), ('skechers', 0.747), ('hall', 0.6128), ('pete', 0.443), ('rose', 0.3497)]"
2015,skincare products,"dovemen """"""real strength""""""",video clips of kids of various ages calling out for their dads.,"[('skincare products', 1.0), ('dovemen', 0.6998), ('strength', 0.5825), ('clips', 0.4708), ('dads', 0.4367)]"
2015,soft drink,"coca-cola """"""make it happy""""""",a spill of the drink in a data center causes internet bullying messages to transform into positive messages.,"[('soft drink', 1.0), ('coca-cola', 0.7203), ('bullying', 0.4786), ('spill', 0.4129), ('drink', 0.3597)]"
2015,software,"turbotax """"""boston tea party""""""",the british work a deal to call off the american revolution by stating that filing taxes would be free.,"[('software', 1.0), ('turbotax', 0.6678), ('taxes', 0.4724), ('tea', 0.4712), ('revolution', 0.4208)]"
2015,technology,"microsoft """"""braylon oneill""""""",a boy with two prosthetic legs is able to play sports and have a life.,"[('technology', 1.0), ('oneill', 0.5691), ('braylon', 0.5476), ('prosthetic', 0.4685), ('microsoft', 0.4333)]"
2015,website,"wix.com """"""its that easy""""""",5 former nfl stars start new careers with the help of website builder wix.com.,"[('website', 1.0), ('wix', 0.5878), ('nfl', 0.3951), ('com', 0.3898), ('easy', 0.3098)]"
